Turma,disciplina,Carga Horária,Departamento,ano,semestre,modalidade,Cursos - Ano/Serie - Prioridade,Cursos - Prioridade - Vagas,Docentes,dia,hora,Horários,status
EDO199115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado I,90.0,EDO,3,1,L,1415L - 3/1 - Obrigatória - Integral 1419L - 3/1 - Obrigatória - Integral 1421L - 3/1 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Priscila de Oliveira e Silva,seg;sex,14-16;14-18,Sexta: 14:00-18:00 Segunda: 14:00-16:00
EMA965715-MATEMÁT.,Probabilidade,60.0,EMA,3,1,C,1419C - 3/1 - Obrigatória - Integral 1415CO - 3/1 - Obrigatória - Integral 1421C - 3/1 - Obrigatória - Integral ,1419C - / 1415CO - / 1421C - / ,José Silvio Govone,ter;qui,8-10;10-12,Terça: 08:00-10:00 Quinta: 10:00-12:00
EDO204715-MATEMÁT.,Psicologia do Desenvolvimento,60.0,EDO,3,1,L,1419L - 3/1 - Obrigatória - Integral 1415L - Equivalente 1421L - 3/1 - Obrigatória - Integral ,1419L - / 1415L - / 1421L - / ,Sueli de Fátima Caetano Coppi,ter,14-18,Terça: 14:00-18:00
MAT002915-MATEMÁT.,Teoria dos Grupos,60.0,DM,3,1,B,1419B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415B - Equivalente ,1419B - / 1421B - / 1415B - / ,Carina Alves,qui;sex,16-18;10-12,Quinta: 16:00-18:00  Sexta: 10:00-12:00
MAT002215-MATEMÁT.,Teoria dos Números,60.0,DM,3,1,B,1415B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral ,1415B - / 1421B - / 1415L - / 1419C - / 1421L - / ,Thais Fernanda Mendes Monis  Gabriel de Almeida Prado Modolo,seg;qui,10-12;14-16,Quinta: 14:00-16:00 Segunda: 10:00-12:00
MAT003315-MATEMÁT.,Análise Matemática III,60.0,DM,4,1,B,1415B - Equivalente 1419B - Equivalente 1421B - 4/1 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Suzete Maria Silva Afonso,ter;qua,14-16;16-18,Terça: 14:00-16:00 Quarta: 16:00-18:00
MAT002315-MATEMÁT.,Espaços Métricos,60.0,DM,4,1,L,1415B - Equivalente 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral 1421B - 3/1 - Obrigatória - Integral ,1415B - / 1415L - / 1419C - / 1421L - / 1421B - / ,Suzete Maria Silva Afonso Nathalia Henrique Maximiano da Silva,seg;qua,14-16;8-10,Quarta: 08:00-10:00 Segunda: 14:00-16:00
MAT002415-MATEMÁT.,Funções de Variável Complexa I,60.0,DM,4,1,C,1415CO - Equivalente 1419C - Equivalente 1421C - 4/1 - Obrigatória - Integral ,1415CO - / 1419C - / 1421C - / ,Thiago de Melo,seg;ter,16-18;10-12,Segunda: 16:00-18:00  Terça: 10:00-12:00
EMA967715-MATEMÁT.,Métodos Matemáticos para Física,60.0,EMA,4,1,B,1421B - 4/1 - Obrigatória - Integral 1415B - Equivalente 1419B - 4/1 - Obrigatória - Integral ,1421B - / 1415B - / 1419B - / ,Luís Renato de Campos Damin,seg;qua,10-12;14-16,Segunda: 10:00-12:00 Quarta: 14:00-16:00
EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,1421L - 4/1 - Obrigatória - Integral 1415L - 4/1 - Obrigatória - Integral 1419L - 4/1 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,Diana Carolina Pineda Pérez,qua;qua;sex,14-16;18-19;8-12,Sexta: 08:00-12:00Quarta: 14:00-16:00 Quarta: 18:00-19:00
