Turma,disciplina,Carga Horária,Departamento,ano,semestre,modalidade,Docentes,dia,hora,status
MAT008915-MATEMÁT.,Funções Elementares,60.0,DM,1,1,C,Ana Paula dos Santos Malheiros,ter,10-12,
MAT008915-MATEMÁT.,Funções Elementares,60.0,DM,1,1,C,Ana Paula dos Santos Malheiros,qui,8-10,new
MAT008815-MATEMÁT.,Geometria Analítica Espacial,60.0,DM,1,2,C,Heloisa da Silva,seg,10-12,
MAT008815-MATEMÁT.,Geometria Analítica Espacial,60.0,DM,1,2,C,Heloisa da Silva,qui,8-10,
MAT008715-MATEMÁT.,Geometria Analítica Plana,60.0,DM,1,1,C,Lucas Carato Mazzi,seg,10-12,
MAT008715-MATEMÁT.,Geometria Analítica Plana,60.0,DM,1,1,C,Lucas Carato Mazzi,ter,8-10,
MAT003015-MATEMÁT.,Geometria Diferencial,60.0,DM,3,2,B,Marcelo José Saia,ter,8-10,
MAT003015-MATEMÁT.,Geometria Diferencial,60.0,DM,3,2,B,Marcelo José Saia,sex,10-12,
MAT010515-MATEMÁT.,Geometria Euclidiana Espacial,60.0,DM,2,1,C,Rúbia Barcelos Amaral Schio,seg,14-16,
MAT010515-MATEMÁT.,Geometria Euclidiana Espacial,60.0,DM,2,1,C,Rúbia Barcelos Amaral Schio,qui,14-16,
MAT009215-MATEMÁT.,Geometria Euclidiana Plana,60.0,DM,1,2,C,Rúbia Barcelos Amaral Schio,ter,10-12,
MAT009215-MATEMÁT.,Geometria Euclidiana Plana,60.0,DM,1,2,C,Rúbia Barcelos Amaral Schio,qui,14-16,new
MAT002515-MATEMÁT.,História da Matemática,60.0,DM,4,2,L,Andreia Lunkes Conrado,seg,14-16,
MAT002515-MATEMÁT.,História da Matemática,60.0,DM,4,2,L,Andreia Lunkes Conrado,sex,8-10,
MAT001815-MATEMÁT.,História e Sociologia da Educação: Questões da Educação Matemática,60.0,DM,3,1,L,Heloisa da Silva Verusca Santos Bispo,seg,10-12,
MAT001815-MATEMÁT.,História e Sociologia da Educação: Questões da Educação Matemática,60.0,DM,3,1,L,Heloisa da Silva Verusca Santos Bispo,ter,10-12,
MAT002015-MATEMÁT.,Matemática da Educação Básica,60.0,DM,3,2,L,Heloisa da Silva,ter,8-10,new
MAT002015-MATEMÁT.,Matemática da Educação Básica,60.0,DM,3,2,L,Heloisa da Silva,sex,16-18,new
MAT009015-MATEMÁT.,Matemática Elementar,60.0,DM,1,1,C,Rúbia Barcelos Amaral Schio,qua,10-12,
MAT009015-MATEMÁT.,Matemática Elementar,60.0,DM,1,1,C,Rúbia Barcelos Amaral Schio,sex,10-12,
MAT002715-MATEMÁT.,Matemática Elementar do Ponto de Vista Avançado,60.0,DM,4,2,L,Andreia Lunkes Conrado,seg,16-18,
MAT002715-MATEMÁT.,Matemática Elementar do Ponto de Vista Avançado,60.0,DM,4,2,L,Andreia Lunkes Conrado,qua,14-16,new
MAT002615-MATEMÁT.,Tecnologia no Ensino de Matemática,60.0,DM,4,2,L,Marcelo de Carvalho Borba,seg,8-10,new
MAT002615-MATEMÁT.,Tecnologia no Ensino de Matemática,60.0,DM,4,2,L,Marcelo de Carvalho Borba,qua,16-18,new
MAT003415-MATEMÁT.,Teoria da Medida e Integração,60.0,DM,4,1,B,Jamil Viana Pereira,ter,16-18,
MAT003415-MATEMÁT.,Teoria da Medida e Integração,60.0,DM,4,1,B,Jamil Viana Pereira,sex,14-16,
MAT003515-MATEMÁT.,Teoria dos Conjuntos,60.0,DM,4,2,B,,qua,16-18,
MAT003515-MATEMÁT.,Teoria dos Conjuntos,60.0,DM,4,2,B,,ter,10-12,new
MAT003615-MATEMÁT.,Teoria dos Corpos,60.0,DM,4,2,B,Carina Alves,seg,16-18,
MAT003615-MATEMÁT.,Teoria dos Corpos,60.0,DM,4,2,B,Carina Alves,ter,14-16,
MAT002915-MATEMÁT.,Teoria dos Grupos,60.0,DM,3,1,B,Carina Alves,qui,14-16,new
MAT002915-MATEMÁT.,Teoria dos Grupos,60.0,DM,3,1,B,Carina Alves,ter,14-16,new
MAT002215-MATEMÁT.,Teoria dos Números,60.0,DM,3,1,B,Thais Fernanda Mendes Monis  Gabriel de Almeida Prado Modolo,seg,10-12,
MAT002215-MATEMÁT.,Teoria dos Números,60.0,DM,3,1,B,Thais Fernanda Mendes Monis  Gabriel de Almeida Prado Modolo,qui,14-16,
MAT002215-MATEMÁT.,Teoria dos Números,60.0,DM,4,1,L,Thais Fernanda Mendes Monis  Gabriel de Almeida Prado Modolo,seg,10-12,
MAT002215-MATEMÁT.,Teoria dos Números,60.0,DM,4,1,L,Thais Fernanda Mendes Monis  Gabriel de Almeida Prado Modolo,qui,14-16,
EDO204515-MATEMÁT.,Didática I,60.0,EDO,3,1,L,Maria Antonia Ramos de Azevedo,qui,14-18,
EDO204615-MATEMÁT.,Didática II,60.0,EDO,3,2,L,Maria Antonia Ramos de Azevedo,ter,14-18,
EDO212815-MATEMÁT.,Política Educacional Brasileira,60.0,EDO,2,2,L,Raquel Fontes Borghi,ter,14-18,
EDO199115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado I,90.0,EDO,3,1,L,Priscila de Oliveira e Silva,seg,14-16,
EDO199115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado I,90.0,EDO,3,1,L,Priscila de Oliveira e Silva,sex,14-18,
EDO199415-MATEMÁT.,Prática de Ensino e Estágio Supervisionado II,105.0,EDO,3,2,L,,seg,8-10,
EDO199415-MATEMÁT.,Prática de Ensino e Estágio Supervisionado II,105.0,EDO,3,2,L,,sex,8-12,new
EDO199415-MATEMÁT.,Prática de Ensino e Estágio Supervisionado II,105.0,EDO,3,2,L,,sex,18-19,new
EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,Diana Carolina Pineda Pérez,ter,14-16,new
EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,Diana Carolina Pineda Pérez,qua,14-16,
EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,Diana Carolina Pineda Pérez,qua,16-18,new
EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,Diana Carolina Pineda Pérez,qua,18-19,
