Turma,disciplina,Carga Horária,Departamento,ano,semestre,modalidade,Cursos - Ano/Serie - Prioridade,Cursos - Prioridade - Vagas,Docentes,dia,hora,Horários,status
MAT010915-MATEMÁT.,Equações de Diferenças,60.0,DM,2,1,C,1423C - 2/1 - Obrigatória - Integral 1419C - Equivalente 1421C - Equivalente ,1423C - / 1419C - / 1421C - / ,Renata Zotin Gomes de Oliveira,sex,10-12,Quarta: 10:00-12:00  Sexta: 10:00-12:00,
MAT010715-MATEMÁT.,Estruturas Algébricas I,60.0,DM,2,1,C,1423C - 2/1 - Obrigatória - Integral 1419C - Equivalente 1421C - Equivalente 1415CO - Equivalente ,1423C - / 1419C - / 1421C - / 1415CO - / ,Marco Antonio de Freitas Contessoto,seg,16-18,Segunda: 16:00-18:00  Quarta: 16:00-18:00,
MAT010715-MATEMÁT.,Estruturas Algébricas I,60.0,DM,2,1,C,1423C - 2/1 - Obrigatória - Integral 1419C - Equivalente 1421C - Equivalente 1415CO - Equivalente ,1423C - / 1419C - / 1421C - / 1415CO - / ,Marco Antonio de Freitas Contessoto,qua,16-18,Segunda: 16:00-18:00  Quarta: 16:00-18:00,
#FSI228715-MATEMÁT.,Física Geral II,60.0,FSI,2,1,C,1423C - 2/1 - Obrigatória - Integral 1419C - Equivalente 1421C - Equivalente 1415CO - Equivalente ,1423C - / 1419C - / 1421C - / 1415CO - / ,Luís Renato de Campos Damin,ter;qui,10-12;10-12,Terça: 10:00-12:00 Quinta: 10:00-12:00,
FSI228715-MATEMÁT.,Física Geral II,60.0,FSI,2,1,C,1423C - 2/1 - Obrigatória - Integral 1419C - Equivalente 1421C - Equivalente 1415CO - Equivalente ,1423C - / 1419C - / 1421C - / 1415CO - / ,Luís Renato de Campos Damin,ter,10-12,,
FSI228715-MATEMÁT.,Física Geral II,60.0,FSI,2,1,C,1423C - 2/1 - Obrigatória - Integral 1419C - Equivalente 1421C - Equivalente 1415CO - Equivalente ,1423C - / 1419C - / 1421C - / 1415CO - / ,Luís Renato de Campos Damin,qui,10-12,,old
FSI228715-MATEMÁT.,Física Geral II,60.0,FSI,2,1,C,1423C - 2/1 - Obrigatória - Integral 1419C - Equivalente 1421C - Equivalente 1415CO - Equivalente ,1423C - / 1419C - / 1421C - / 1415CO - / ,Luís Renato de Campos Damin,qui,16-18,,new
MAT010515-MATEMÁT.,Geometria Euclidiana Espacial,60.0,DM,2,1,C,1423C - 2/1 - Obrigatória - Integral 1419C - Equivalente 1415CO - Equivalente 1421C - Equivalente ,1423C - / 1419C - / 1415CO - / 1421C - / ,Rúbia Barcelos Amaral Schio,seg,14-16,Segunda: 14:00-16:00  Quinta: 14:00-16:00,
MAT010515-MATEMÁT.,Geometria Euclidiana Espacial,60.0,DM,2,1,C,1423C - 2/1 - Obrigatória - Integral 1419C - Equivalente 1415CO - Equivalente 1421C - Equivalente ,1423C - / 1419C - / 1415CO - / 1421C - / ,Rúbia Barcelos Amaral Schio,qui,14-16,Segunda: 14:00-16:00  Quinta: 14:00-16:00,
#MAT010615-MATEMÁT.,Filosofia da Educação: questões da Educação Matemática,60.0,DM,2,1,L,1423L - 2/1 - Obrigatória - Integral 1421L - Equivalente 1415L - Equivalente 1419L - Equivalente ,1423L - / 1421L - / 1415L - / 1419L - / ,Marcelo de Carvalho Borba Letícia Carolina José,ter;qui,16-18;8-10,Terça: 16:00-18:00 Quinta: 08:00-10:00,
