Turma,disciplina,Carga Horária,Departamento,ano,semestre,modalidade,Cursos - Ano/Serie - Prioridade,Cursos - Prioridade - Vagas,Docentes,dia,hora,Horários,status
#EMA979615-COMP.INT.,???? Cálculo Numérico,60.0,EMA,1,2,B,0823B - I - 1/2 - Obrigatória - Integral 0820B - I - Equivalente 0823B - N - Equivalente 0820B - N - Equivalente 0897BA - I - Equivalente 0898BA - N - Equivalente 1015C - Equivalente 1019C - Equivalente 1419C - Equivalente 1415CO - Equivalente 1421C - Equivalente ,0823B - I - / 0820B - I - / 0823B - N - /3 0820B - N - /3 0897BA - I - / 0898BA - N - /3 1015C - /5 1019C - /5 1419C - /5 1415CO - /5 1421C - /5 ,Nelson Callegari Júnior,seg,8-12,Segunda: 08:00-12:00 (GVS3),
MAT008615-MATEMÁT.,Cálculo Diferencial e Integral II,90.0,DM,1,2,C,1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 0820B - I - Equivalente 0820B - N - Equivalente ,1415CO - / 1423C - / 1421C - / 1419C - / 0820B - I - /5 0820B - N - /5 ,Renata Zotin Gomes de Oliveira,seg,8-10,Quarta: 08:00-10:00 (GIIIS5) Sexta: 08:00-10:00 (GIIIS5) Segunda: 08:00-10:00 (GIIIS5),
MAT008615-MATEMÁT.,Cálculo Diferencial e Integral II,90.0,DM,1,2,C,1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 0820B - I - Equivalente 0820B - N - Equivalente ,1415CO - / 1423C - / 1421C - / 1419C - / 0820B - I - /5 0820B - N - /5 ,Renata Zotin Gomes de Oliveira,qua,8-10,Quarta: 08:00-10:00 (GIIIS5) Sexta: 08:00-10:00 (GIIIS5) Segunda: 08:00-10:00 (GIIIS5),
MAT008615-MATEMÁT.,Cálculo Diferencial e Integral II,90.0,DM,1,2,C,1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 0820B - I - Equivalente 0820B - N - Equivalente ,1415CO - / 1423C - / 1421C - / 1419C - / 0820B - I - /5 0820B - N - /5 ,Renata Zotin Gomes de Oliveira,sex,8-10,Quarta: 08:00-10:00 (GIIIS5) Sexta: 08:00-10:00 (GIIIS5) Segunda: 08:00-10:00 (GIIIS5),
MAT009115-MATEMÁT.,Educação Financeira numa perspectiva crítica,60.0,DM,1,2,C,1419C - Equivalente 1421C - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1419C - / 1421C - / 1423C - / ,Lucas Carato Mazzi,seg,14-16,Segunda: 14:00-16:00 (GIVS4) Quarta: 10:00-12:00 (GIIIS5),
MAT009115-MATEMÁT.,Educação Financeira numa perspectiva crítica,60.0,DM,1,2,C,1419C - Equivalente 1421C - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1419C - / 1421C - / 1423C - / ,Lucas Carato Mazzi,qua,10-12,Segunda: 14:00-16:00 (GIVS4) Quarta: 10:00-12:00 (GIIIS5),
FSI226615-MATEMÁT.,Física Geral I,60.0,FSI,1,2,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,,ter,8-10,Terça: 08:00-10:00 (GIIIS5) Sexta: 10:00-12:00 (GIIIS5),
FSI226615-MATEMÁT.,Física Geral I,60.0,FSI,1,2,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,,sex,10-12,Terça: 08:00-10:00 (GIIIS5) Sexta: 10:00-12:00 (GIIIS5),
MAT008815-MATEMÁT.,Geometria Analítica Espacial,60.0,DM,1,2,C,1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1419C - / 1415CO - / 1423C - / ,Heloisa da Silva,seg,10-12,Segunda: 10:00-12:00 (GIIIS5) Quinta: 08:00-10:00 (GIIIS5),
MAT008815-MATEMÁT.,Geometria Analítica Espacial,60.0,DM,1,2,C,1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1419C - / 1415CO - / 1423C - / ,Heloisa da Silva,qui,8-10,Segunda: 10:00-12:00 (GIIIS5) Quinta: 08:00-10:00 (GIIIS5),
#MAT009215-MATEMÁT.,Geometria Euclidiana Plana,60.0,DM,1,2,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Rúbia Barcelos Amaral Schio,ter;qui,10-12;10-12,Terça: 10:00-12:00 (GIIIS5) Quinta: 10:00-12:00,
MAT009215-MATEMÁT.,Geometria Euclidiana Plana,60.0,DM,1,2,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Rúbia Barcelos Amaral Schio,ter,10-12,,
MAT009215-MATEMÁT.,Geometria Euclidiana Plana,60.0,DM,1,2,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Rúbia Barcelos Amaral Schio,qui,10-12,,old
MAT009215-MATEMÁT.,Geometria Euclidiana Plana,60.0,DM,1,2,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Rúbia Barcelos Amaral Schio,qui,14-16,,new
EMA980215-MATEMÁT.,Introdução à Ciência da Computação,60.0,EMA,1,2,C,1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1419C - / 1415CO - / 1423C - / ,Marcos Tadeu dos Santos,sex,14-18,Sexta: 14:00-18:00 (GIIIS5),
#MAT012315-MATEMÁT.,Álgebra Linear II,60.0,DM,2,2,B,1415B - Equivalente 1419B - Equivalente 1421B - Equivalente 1423B - 2/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / 1423B - / ,Marta Cilene Gadotti,seg;sex,10-12;16-18,Sexta: 16:00-18:00 Segunda: 10:00-12:00,
MAT012315-MATEMÁT.,Álgebra Linear II,60.0,DM,2,2,B,1415B - Equivalente 1419B - Equivalente 1421B - Equivalente 1423B - 2/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / 1423B - / ,Marta Cilene Gadotti,seg,10-12,,old
MAT012315-MATEMÁT.,Álgebra Linear II,60.0,DM,2,2,B,1415B - Equivalente 1419B - Equivalente 1421B - Equivalente 1423B - 2/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / 1423B - / ,Marta Cilene Gadotti,ter,14-16,,new
MAT012315-MATEMÁT.,Álgebra Linear II,60.0,DM,2,2,B,1415B - Equivalente 1419B - Equivalente 1421B - Equivalente 1423B - 2/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / 1423B - / ,Marta Cilene Gadotti,sex,16-18,,
MAT011015-MATEMÁT.,Cálculo Diferencial e Integral IV,60.0,DM,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente ,1423C - / 1421C - / 1419C - / 1415CO - / ,Jamil Viana Pereira,seg,14-16,Segunda: 14:00-16:00 Quarta: 14:00-16:00,
MAT011015-MATEMÁT.,Cálculo Diferencial e Integral IV,60.0,DM,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente ,1423C - / 1421C - / 1419C - / 1415CO - / ,Jamil Viana Pereira,qua,14-16,Segunda: 14:00-16:00 Quarta: 14:00-16:00,
EMA986515-MATEMÁT.,Cálculo Numérico,60.0,EMA,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1415CO - Equivalente 1419C - Equivalente ,1423C - / 1421C - / 1415CO - / 1419C - / ,Maria Helena Moreira Morais,qui,16-18,Quinta: 16:00-18:00 Sexta: 14:00-16:00,
EMA986515-MATEMÁT.,Cálculo Numérico,60.0,EMA,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1415CO - Equivalente 1419C - Equivalente ,1423C - / 1421C - / 1415CO - / 1419C - / ,Maria Helena Moreira Morais,sex,14-16,Quinta: 16:00-18:00 Sexta: 14:00-16:00,
MAT011115-MATEMÁT.,Desenho Geométrico e Geometria Descritiva,60.0,DM,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente ,1423C - / 1421C - / 1419C - / 1415CO - / ,Rúbia Barcelos Amaral Schio,qua,10-12,Quarta: 10:00-12:00 Quinta: 14:00-16:00,
MAT011115-MATEMÁT.,Desenho Geométrico e Geometria Descritiva,60.0,DM,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente ,1423C - / 1421C - / 1419C - / 1415CO - / ,Rúbia Barcelos Amaral Schio,qui,14-16,Quarta: 10:00-12:00 Quinta: 14:00-16:00,
MAT011215-MATEMÁT.,Estruturas Algébricas II,60.0,DM,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente ,1423C - / 1421C - / 1419C - / 1415CO - / ,Sara Díaz Cardell,seg,16-18,Segunda: 16:00-18:00 Quarta: 16:00-18:00,
MAT011215-MATEMÁT.,Estruturas Algébricas II,60.0,DM,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente ,1423C - / 1421C - / 1419C - / 1415CO - / ,Sara Díaz Cardell,qua,16-18,Segunda: 16:00-18:00 Quarta: 16:00-18:00,
#FSI228815-MATEMÁT.,Física Geral III,60.0,FSI,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1415CO - Equivalente 1419C - Equivalente ,1423C - / 1421C - / 1415CO - / 1419C - / ,,ter;qui,10-12;10-12,Quinta: 10:00-12:00 Terça: 10:00-12:00,
FSI228815-MATEMÁT.,Física Geral III,60.0,FSI,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1415CO - Equivalente 1419C - Equivalente ,1423C - / 1421C - / 1415CO - / 1419C - / ,,ter,10-12,,
FSI228815-MATEMÁT.,Física Geral III,60.0,FSI,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1415CO - Equivalente 1419C - Equivalente ,1423C - / 1421C - / 1415CO - / 1419C - / ,,qui,10-12,,old
FSI228815-MATEMÁT.,Física Geral III,60.0,FSI,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1415CO - Equivalente 1419C - Equivalente ,1423C - / 1421C - / 1415CO - / 1419C - / ,,sex,10-12,,new
EDO212815-MATEMÁT.,Política Educacional Brasileira,60.0,EDO,2,2,L,1423L - 2/2 - Obrigatória - Integral 1421L - Equivalente 1419L - Equivalente 1415L - Equivalente ,1423L - / 1421L - / 1419L - / 1415L - / ,Raquel Fontes Borghi,ter,14-18,Terça: 14:00-18:00,
#MAT003115-MATEMÁT.,Análise Matemática II,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Jamil Viana Pereira,seg;sex,8-10;16-18,Segunda: 08:00-10:00 (GIIIS2) Sexta: 16:00-18:00 (GIIIS2),
MAT003115-MATEMÁT.,Análise Matemática II,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Jamil Viana Pereira,seg,8-10,,
MAT003115-MATEMÁT.,Análise Matemática II,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Jamil Viana Pereira,sex,16-18,,old
MAT003115-MATEMÁT.,Análise Matemática II,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Jamil Viana Pereira,ter,16-18,,new
MAT003215-MATEMÁT.,Espaços Topológicos,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Thiago de Melo,qua,8-10,Quarta: 08:00-10:00 (GIIIS2) Sexta: 08:00-10:00 (GIIIS2),
MAT003215-MATEMÁT.,Espaços Topológicos,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Thiago de Melo,sex,8-10,Quarta: 08:00-10:00 (GIIIS2) Sexta: 08:00-10:00 (GIIIS2),
MAT003015-MATEMÁT.,Geometria Diferencial,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Marcelo José Saia,ter,8-10,Sexta: 10:00-12:00 (GIIIS2) Terça: 08:00-10:00 (GIIIS2),
MAT003015-MATEMÁT.,Geometria Diferencial,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Marcelo José Saia,sex,10-12,Sexta: 10:00-12:00 (GIIIS2) Terça: 08:00-10:00 (GIIIS2),
MAT002115-MATEMÁT.,Equações Diferenciais Ordinárias,60.0,DM,3,2,C,1421C - 3/2 - Obrigatória - Integral 1415CO - Equivalente 1419C - Equivalente ,1421C - / 1415CO - / 1419C - / ,Marta Cilene Gadotti,seg,10-12,Quinta: 08:00-10:00 (GVS3) Segunda: 10:00-12:00 (GIIIS2),
MAT002115-MATEMÁT.,Equações Diferenciais Ordinárias,60.0,DM,3,2,C,1421C - 3/2 - Obrigatória - Integral 1415CO - Equivalente 1419C - Equivalente ,1421C - / 1415CO - / 1419C - / ,Marta Cilene Gadotti,qui,8-10,Quinta: 08:00-10:00 (GVS3) Segunda: 10:00-12:00 (GIIIS2),
#EMA965815-MATEMÁT.,Estatística,60.0,EMA,3,2,C,1419C - 3/2 - Obrigatória - Integral 1415CO - 3/2 - Obrigatória - Integral 1421C - 3/2 - Obrigatória - Integral ,1419C - / 1415CO - / 1421C - / ,Selene Maria Coelho Loibel,qui;sex,10-12;14-16,Quinta: 10:00-12:00 Sexta: 14:00-16:00 (GIIIS2),
EMA965815-MATEMÁT.,Estatística,60.0,EMA,3,2,C,1419C - 3/2 - Obrigatória - Integral 1415CO - 3/2 - Obrigatória - Integral 1421C - 3/2 - Obrigatória - Integral ,1419C - / 1415CO - / 1421C - / ,Selene Maria Coelho Loibel,sex,14-16,,
EMA965815-MATEMÁT.,Estatística,60.0,EMA,3,2,C,1419C - 3/2 - Obrigatória - Integral 1415CO - 3/2 - Obrigatória - Integral 1421C - 3/2 - Obrigatória - Integral ,1419C - / 1415CO - / 1421C - / ,Selene Maria Coelho Loibel,qui,10-12,,old
EMA965815-MATEMÁT.,Estatística,60.0,EMA,3,2,C,1419C - 3/2 - Obrigatória - Integral 1415CO - 3/2 - Obrigatória - Integral 1421C - 3/2 - Obrigatória - Integral ,1419C - / 1415CO - / 1421C - / ,Selene Maria Coelho Loibel,qui,14-16,,new
EDO204615-MATEMÁT.,Didática II,60.0,EDO,3,2,L,1419L - 3/2 - Obrigatória - Integral 1415L - Equivalente 1421L - 3/2 - Obrigatória - Integral ,1419L - / 1415L - / 1421L - / ,Maria Antonia Ramos de Azevedo,ter,14-18,Terça: 14:00-18:00 (GIIIS5),
#MAT002015-MATEMÁT.,Matemática da Educação Básica,60.0,DM,3,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 3/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Heloisa da Silva,ter,8-12,Terça: 08:00-12:00,
MAT002015-MATEMÁT.,Matemática da Educação Básica,60.0,DM,3,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 3/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Heloisa da Silva,ter,8-10,,new
MAT002015-MATEMÁT.,Matemática da Educação Básica,60.0,DM,3,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 3/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Heloisa da Silva,ter,8-12,,old
MAT002015-MATEMÁT.,Matemática da Educação Básica,60.0,DM,3,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 3/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Heloisa da Silva,sex,16-18,,new
#EDO199415-MATEMÁT.,Prática de Ensino e Estágio Supervisionado II,105.0,EDO,3,2,L,1415L - 3/2 - Obrigatória - Integral 1419L - 3/2 - Obrigatória - Integral 1421L - 3/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,,seg;qui,8-10;14-19,Segunda: 08:00-10:00 Quinta: 14:00-19:00,
EDO199415-MATEMÁT.,Prática de Ensino e Estágio Supervisionado II,105.0,EDO,3,2,L,1415L - 3/2 - Obrigatória - Integral 1419L - 3/2 - Obrigatória - Integral 1421L - 3/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,,seg,8-10,,
EDO199415-MATEMÁT.,Prática de Ensino e Estágio Supervisionado II,105.0,EDO,3,2,L,1415L - 3/2 - Obrigatória - Integral 1419L - 3/2 - Obrigatória - Integral 1421L - 3/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,,qui,14-19,,old
EDO199415-MATEMÁT.,Prática de Ensino e Estágio Supervisionado II,105.0,EDO,3,2,L,1415L - 3/2 - Obrigatória - Integral 1419L - 3/2 - Obrigatória - Integral 1421L - 3/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,,sex,8-12,,new
EDO199415-MATEMÁT.,Prática de Ensino e Estágio Supervisionado II,105.0,EDO,3,2,L,1415L - 3/2 - Obrigatória - Integral 1419L - 3/2 - Obrigatória - Integral 1421L - 3/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,,sex,18-19,,new
EDO204815-MATEMÁT.,Psicologia da Aprendizagem,60.0,EDO,3,2,L,1419L - 3/2 - Obrigatória - Integral 1415L - Equivalente 1421L - 3/2 - Obrigatória - Integral 1215L - I - Equivalente 1215L - N - Equivalente ,1419L - / 1415L - / 1421L - / 1215L - I - /5 1215L - N - /5 ,Cesar Donizeti Pereira Leite,qua,8-12,Quarta: 08:00-12:00 (GIIS8),
#MAT003815-MATEMÁT.,Análise Funcional,60.0,DM,4,2,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,Suzete Maria Silva Afonso,ter;qua,16-18;10-12,Terça: 16:00-18:00 Quarta: 10:00-12:00,
MAT003815-MATEMÁT.,Análise Funcional,60.0,DM,4,2,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,Suzete Maria Silva Afonso,qua,10-12,,
MAT003815-MATEMÁT.,Análise Funcional,60.0,DM,4,2,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,Suzete Maria Silva Afonso,ter,16-18,,old
MAT003815-MATEMÁT.,Análise Funcional,60.0,DM,4,2,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,Suzete Maria Silva Afonso,qui,16-18,,new
MAT003715-MATEMÁT.,Funções de Variável Complexa II,60.0,DM,4,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Marta Cilene Gadotti,seg,14-16,Quarta: 14:00-16:00 Segunda: 14:00-16:00,
MAT003715-MATEMÁT.,Funções de Variável Complexa II,60.0,DM,4,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Marta Cilene Gadotti,qua,14-16,Quarta: 14:00-16:00 Segunda: 14:00-16:00,
#MAT003515-MATEMÁT.,Teoria dos Conjuntos,60.0,DM,4,2,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,,qua;qui,16-18;14-16,Quarta: 16:00-18:00 Quinta: 14:00-16:00,
MAT003515-MATEMÁT.,Teoria dos Conjuntos,60.0,DM,4,2,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,,qua,16-18,,
MAT003515-MATEMÁT.,Teoria dos Conjuntos,60.0,DM,4,2,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,,qui,14-16,,old
MAT003515-MATEMÁT.,Teoria dos Conjuntos,60.0,DM,4,2,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,,sex,16-18,,new
MAT003615-MATEMÁT.,Teoria dos Corpos,60.0,DM,4,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Carina Alves,seg,16-18,Segunda: 16:00-18:00 Terça: 14:00-16:00,
MAT003615-MATEMÁT.,Teoria dos Corpos,60.0,DM,4,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 4/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Carina Alves,ter,14-16,Segunda: 16:00-18:00 Terça: 14:00-16:00,
#MAT002515-MATEMÁT.,História da Matemática,60.0,DM,4,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Andreia Lunkes Conrado,seg,14-16,Segunda: 14:00-16:00 Quarta: 14:00-16:00,
MAT002515-MATEMÁT.,História da Matemática,60.0,DM,4,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Andreia Lunkes Conrado,seg,14-16,,
MAT002515-MATEMÁT.,História da Matemática,60.0,DM,4,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Andreia Lunkes Conrado,qua,14-16,,old
MAT002515-MATEMÁT.,História da Matemática,60.0,DM,4,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Andreia Lunkes Conrado,sex,8-10,,new
MAT002715-MATEMÁT.,Matemática Elementar do Ponto de Vista Avançado,60.0,DM,4,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Andreia Lunkes Conrado,seg,16-18,Segunda: 16:00-18:00 Quarta: 16:00-18:00,
MAT002715-MATEMÁT.,Matemática Elementar do Ponto de Vista Avançado,60.0,DM,4,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Andreia Lunkes Conrado,qua,16-18,Segunda: 16:00-18:00 Quarta: 16:00-18:00,
MAT005315-MATEMÁT.,Modelagem Matemática para a Educação Básica - optativa,60.0,DM,4,2,L,1421B - 9/ - Optativa - Integral 1421L - 9/ - Optativa - Integral 1419L - Equivalente 1419B - Equivalente 1415L - Equivalente 1415B - Equivalente ,1421B - / 1421L - / 1419L - / 1419B - / 1415L - / 1415B - / ,Ana Paula dos Santos Malheiros,seg,10-12,Segunda: 10:00-12:00 Terça: 10:00-12:00,
MAT005315-MATEMÁT.,Modelagem Matemática para a Educação Básica - optativa,60.0,DM,4,2,L,1421B - 9/ - Optativa - Integral 1421L - 9/ - Optativa - Integral 1419L - Equivalente 1419B - Equivalente 1415L - Equivalente 1415B - Equivalente ,1421B - / 1421L - / 1419L - / 1419B - / 1415L - / 1415B - / ,Ana Paula dos Santos Malheiros,ter,10-12,Segunda: 10:00-12:00 Terça: 10:00-12:00,
#EDO203115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado IV,105.0,EDO,4,2,L,1421L - 4/2 - Obrigatória - Integral 1415L - 4/2 - Obrigatória - Integral 1419L - 4/2 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,,seg;ter;sex,18-19;8-10;8-12,Terça: 08:00-10:00 Sexta: 08:00-12:00 Segunda: 18:00-19:00,
EDO203115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado IV,105.0,EDO,4,2,L,1421L - 4/2 - Obrigatória - Integral 1415L - 4/2 - Obrigatória - Integral 1419L - 4/2 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,,seg,18-19,,
EDO203115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado IV,105.0,EDO,4,2,L,1421L - 4/2 - Obrigatória - Integral 1415L - 4/2 - Obrigatória - Integral 1419L - 4/2 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,,ter,8-10,,
EDO203115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado IV,105.0,EDO,4,2,L,1421L - 4/2 - Obrigatória - Integral 1415L - 4/2 - Obrigatória - Integral 1419L - 4/2 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,,ter,14-18,,new
EDO203115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado IV,105.0,EDO,4,2,L,1421L - 4/2 - Obrigatória - Integral 1415L - 4/2 - Obrigatória - Integral 1419L - 4/2 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,,sex,8-12,,old
#MAT002615-MATEMÁT.,Tecnologia no Ensino de Matemática,60.0,DM,4,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Marcelo de Carvalho Borba,ter,14-18,Terça: 14:00-18:00,
MAT002615-MATEMÁT.,Tecnologia no Ensino de Matemática,60.0,DM,4,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Marcelo de Carvalho Borba,ter,14-18,,old
MAT002615-MATEMÁT.,Tecnologia no Ensino de Matemática,60.0,DM,4,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Marcelo de Carvalho Borba,seg,8-10,,new
MAT002615-MATEMÁT.,Tecnologia no Ensino de Matemática,60.0,DM,4,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Marcelo de Carvalho Borba,qua,14-16,,new
#MAT002615-MATEMÁT.,teste novo,60.0,DM,1,1,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Marcelo de Carvalho Borba,seg,6-8,,new
#MAT002615-MATEMÁT.,teste novo,60.0,DM,2,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Marcelo de Carvalho Borba,seg,6-8,,new
#MAT002615-MATEMÁT.,teste novo,60.0,DM,2,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Marcelo de Carvalho Borba,qua,6-8,,new
#MAT002615-MATEMÁT.,teste novo,60.0,DM,2,1,L,1415L - Equivalente 1419L - Equivalente 1421L - 4/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Marcelo de Carvalho Borba,qua,18-20,,new
